[INFO - 2025-10-22 09:16:42,175 - MainThread] 2475 links from 'out/uol_links/2014/8-2014.txt'.
[ERROR - 2025-10-22 09:16:42,390 - Worker_0] Status code == 403 for http://noticias.uol.com.br/saude/ultimas-noticias/redacao/2014/07/29/historia-de-crianca-com-deficiencia-vira-roteiro-de-filme.htm, skipping...
[ERROR - 2025-10-22 09:16:42,570 - Worker_4] Status code == 403 for http://economia.uol.com.br/noticias/redacao/2014/08/01/marca-de-sorvetes-ben--jerrys-vai-abrir-1-loja-no-brasil-em-setembro.htm, skipping...
[ERROR - 2025-10-22 09:16:42,659 - Worker_1] Status code == 403 for http://mauriciostycer.blogosfera.uol.com.br/2014/08/01/meu-pedacinho-do-chao-fugiu-do-obvio-surpreendeu-e-encantou/, skipping...
[ERROR - 2025-10-22 09:16:43,046 - Worker_2] Status code == 404 for http://criancas.uol.com.br/voce-manda/2014/08/01/criancas-fazem-homenagem-no-dia-dos-pais.htm, skipping...
[ERROR - 2025-10-22 09:16:46,545 - Worker_0] Status code == 403 for http://economia.uol.com.br/noticias/reuters/2014/08/01/alpargatas-pagara-r-159-mi-por-30-da-osklen-e-avalia-grife-em-r-530-mi.htm, skipping...
[ERROR - 2025-10-22 09:16:46,847 - Worker_4] Status code == 403 for http://fernandorodrigues.blogosfera.uol.com.br/2014/08/01/justica-multa-facebook-em-r-100-mildia-se-nao-informar-dado-de-alckmin/, skipping...
[ERROR - 2025-10-22 09:16:46,850 - Worker_1] Status code == 403 for http://noticias.uol.com.br/album/2014/06/11/charges.htm?abrefoto=45, skipping...
[ERROR - 2025-10-22 09:16:47,196 - Worker_2] Status code == 403 for http://noticias.uol.com.br/saude/ultimas-noticias/redacao/2014/08/01/com-imagens-provocativas-campanha-quer-promover-o-uso-da-camisinha.htm, skipping...
[ERROR - 2025-10-22 09:16:47,859 - Worker_3] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2014/08/01/templo-de-salomao-e-inaugurado-com-noite-de-gala-e-show-de-fe-para-politicos.htm, skipping...
[ERROR - 2025-10-22 09:16:51,023 - Worker_1] Status code == 403 for http://noticias.uol.com.br/midiaglobal/elpais/2014/08/01/jornal-comunista-italiano-lunita-fecha-apos-90-anos-em-circulacao.htm, skipping...
[ERROR - 2025-10-22 09:16:52,511 - Worker_3] Status code == 403 for http://liviooricchio.blogosfera.uol.com.br/2014/08/01/sobre-bottas-na-mclaren-honda-em-2015/, skipping...
[ERROR - 2025-10-22 09:16:56,903 - Worker_2] Status code == 403 for http://tecnologia.uol.com.br/noticias/redacao/2014/07/31/wtf-mitar-e-bino-entenda-expressoes-tipicas-da-internet.htm, skipping...
[ERROR - 2025-10-22 09:16:56,932 - Worker_3] Status code == 403 for http://blogdomenon.blogosfera.uol.com.br/2014/08/01/140-lucescu-ajuda-futebol-brasileiro-mais-que-dunga-e-parreira-juntos/, skipping...
[ERROR - 2025-10-22 09:17:01,169 - Worker_3] Status code == 403 for http://noticias.uol.com.br/midiaglobal/elpais/2014/08/01/opiniao-ninguem-manda-tanto-na-china-quanto-xi-jinping.htm, skipping...
[ERROR - 2025-10-22 09:17:06,359 - Worker_2] Status code == 403 for http://omundoemmovimento.blogosfera.uol.com.br/2014/08/01/venda-diaria-e-a-pior-do-ano-no-acumulado-queda-e-de-83/, skipping...
[ERROR - 2025-10-22 09:17:07,683 - Worker_3] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/bbc/2014/08/01/templo-evangelico-reforca-caldeirao-religioso-no-leste-de-sao-paulo.htm, skipping...
[ERROR - 2025-10-22 09:17:12,692 - Worker_1] Status code == 404 for http://guia.uol.com.br/curitiba/noticias/2014/07/27/festival-de-inverno-de-curitiba-tem-opcoes-de-cultura-e-gastronomia.htm, skipping...
[ERROR - 2025-10-22 09:17:14,149 - Worker_3] Status code == 403 for http://noticias.uol.com.br/midiaglobal/freakonomics/2014/08/01/por-que-voce-deve-subornar-seus-filhos.htm, skipping...
[ERROR - 2025-10-22 09:17:15,580 - Worker_2] Status code == 403 for http://noticias.uol.com.br/saude/ultimas-noticias/redacao/2014/07/31/alemanha-lidera-numero-de-cirurgias-de-aumento-de-penis-no-mundo.htm, skipping...
[ERROR - 2025-10-22 09:17:17,005 - Worker_1] Status code == 403 for http://josecruz.blogosfera.uol.com.br/2014/08/a-conta-das-medalhas/, skipping...
[ERROR - 2025-10-22 09:17:20,682 - Worker_3] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2014/07/31/ao-lado-de-dilma-e-politicos-edir-macedo-inaugura-megatemplo-da-iurd-em-sp.htm, skipping...
[ERROR - 2025-10-22 09:17:38,263 - Worker_3] Failed to connect with http://noticias.carsale.uol.com.br/testes/2014/08/01/comparativo-novo-ford-ka-enfrenta-onix-e-hb20-com-motor-1-0/ after 3 attempts, skipping...
[ERROR - 2025-10-22 09:17:44,868 - Worker_3] Status code == 403 for http://educacao.uol.com.br/noticias/2014/08/01/terra-do-templo-de-salomao-pode-ter-sido-despejada-na-usp-leste.htm, skipping...
[ERROR - 2025-10-22 09:17:49,022 - Worker_3] Status code == 403 for http://noticias.uol.com.br/ciencia/album/2014/08/01/veja-imagens-de-ciencia-do-mes-agosto2014.htm?abrefoto=4, skipping...
[ERROR - 2025-10-22 09:17:53,117 - Worker_3] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2014/08/01/idec-recebe-15-queixas-de-falta-de-agua-por-dia-em-sao-paulo.htm, skipping...
[ERROR - 2025-10-22 09:17:56,387 - Worker_4] Status code == 404 for http://guia.uol.com.br/brasilia/noticias/2014/07/31/turne-da-peca-callas-com-silvia-pfeifer-e-cassio-reis-chega-a-brasilia.htm, skipping...
[ERROR - 2025-10-22 09:17:59,627 - Worker_3] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/bbc/2014/08/01/indios-acusam-policia-de-cobrar-propina-para-liberar-garimpo-no-para.htm, skipping...
[ERROR - 2025-10-22 09:18:15,483 - Worker_4] Status code == 404 for http://guia.uol.com.br/belo-horizonte/noticias/2014/07/25/musical-sobre-vida-de-cassia-eller-chega-a-bh-em-agosto-ingressos-a-r-10.htm, skipping...
[ERROR - 2025-10-22 09:18:23,712 - Worker_3] Status code == 403 for http://blogdosakamoto.blogosfera.uol.com.br/2014/08/01/a-fazenda-do-aeroporto-de-claudio-mg-foi-flagrada-com-trabalho-escravo/, skipping...
[ERROR - 2025-10-22 09:18:25,506 - Worker_2] Status code == 403 for http://economia.uol.com.br/noticias/infomoney/2014/08/01/11-perguntas-que-devem-ser-feitas-antes-de-comprar-uma-franquia.htm, skipping...
[ERROR - 2025-10-22 09:18:27,132 - Worker_0] Status code == 403 for http://economia.uol.com.br/noticias/redacao/2014/08/01/saldo-entre-importacoes-e-exportacoes-e-positivo-em-us-1575-bi-em-julho.htm, skipping...
[ERROR - 2025-10-22 09:18:27,860 - Worker_3] Status code == 403 for http://noticias.uol.com.br/saude/ultimas-noticias/bbc/2014/08/01/britanica-perde-160kg-apos-sofrer-abusos-pela-obesidade.htm, skipping...
[ERROR - 2025-10-22 09:18:30,972 - Worker_1] Status code == 403 for http://noticias.uol.com.br/saude/ultimas-noticias/bbc/2014/08/01/tecnica-que-deixa-corpo-transparente-facilita-diagnosticos.htm, skipping...
[ERROR - 2025-10-22 09:18:31,449 - Worker_0] Status code == 403 for http://colunaesplanada.blogosfera.uol.com.br/2014/08/01/candidato-presidente-do-pen-informa-ter-nascido-em-tres-cidades/, skipping...
[ERROR - 2025-10-22 09:18:35,222 - Worker_1] Status code == 403 for http://nilsonxavier.blogosfera.uol.com.br/2014/08/01/meu-pedacinho-de-chao-entra-para-a-historia-por-sua-estetica-inovadora/, skipping...
[ERROR - 2025-10-22 09:18:42,480 - Worker_4] Status code == 403 for http://noticias.uol.com.br/internacional/ultimas-noticias/2014/08/01/hamas-nega-envolvimento-em-sequestro-de-soldado-israelense-em-gaza.htm, skipping...
[ERROR - 2025-10-22 09:18:44,226 - Worker_1] Status code == 403 for http://negociosdoesporte.blogosfera.uol.com.br/2014/08/01/por-que-o-profissionalismo-sucumbe-no-esporte/, skipping...
[ERROR - 2025-10-22 09:18:50,517 - Worker_0] Status code == 404 for http://guia.uol.com.br/curitiba/noticias/2014/08/01/roteiro-traz-tres-mostras-para-visitar-no-fim-de-semana-em-curitiba.htm, skipping...
[ERROR - 2025-10-22 09:18:53,455 - Worker_4] Status code == 403 for http://noticias.uol.com.br/saude/ultimas-noticias/afp/2014/08/02/americano-infectado-com-o-virus-ebola-chega-aos-estados-unidos.htm, skipping...
[ERROR - 2025-10-22 09:18:53,782 - Worker_1] Status code == 403 for http://blogdosakamoto.blogosfera.uol.com.br/2014/08/02/criticou-x-tem-que-fazer-y-a-logica-binaria-do-brasileiro-volta-a-atacar/, skipping...
[ERROR - 2025-10-22 09:19:07,222 - Worker_0] Status code == 403 for http://uolesporte.blogosfera.uol.com.br/2014/08/02/ta-bombando-namorada-de-heroi-da-copa-mostra-demais-nas-ferias/, skipping...
[ERROR - 2025-10-22 09:19:16,219 - Worker_0] Status code == 403 for http://uolesporte.blogosfera.uol.com.br/2014/08/02/neymar-aparece-acompanhado-de-loiras-em-ibiza-saiba-quem-sao/, skipping...
[ERROR - 2025-10-22 09:19:20,526 - Worker_0] Status code == 404 for http://charges.uol.com.br/2014/08/02/tobby-entrevista-tartaruga-ninja/, skipping...
[ERROR - 2025-10-22 09:19:24,873 - Worker_0] Status code == 404 for http://futebol.placar.esporte.uol.com.br/futebol/brasileirao/2014/08/02/vitoria-x-gremio.htm, skipping...
[ERROR - 2025-10-22 09:20:16,615 - Worker_2] Status code == 403 for http://noticias.uol.com.br/ciencia/album/2014/08/01/veja-imagens-de-ciencia-do-mes-agosto2014.htm?abrefoto=8, skipping...
[ERROR - 2025-10-22 09:20:25,922 - Worker_2] Status code == 403 for http://noticias.uol.com.br/ciencia/ultimas-noticias/redacao/2014/07/31/colonizacao-espacial-so-com-uma-populacao-de-40-mil-diz-cientista.htm, skipping...
[ERROR - 2025-10-22 09:20:29,213 - Worker_1] Status code == 403 for http://noticias.uol.com.br/midiaglobal/elpais/2014/08/02/demissao-do-lider-da-oposicao-na-venezuela-agrava-crise-interna.htm, skipping...
