[INFO - 2025-10-25 20:34:09,320 - MainThread] 2215 links from 'out/uol_links/2016/3-2016.txt'.
[ERROR - 2025-10-25 20:34:09,546 - Worker_1] Status code == 403 for http://blogdomenon.blogosfera.uol.com.br/2016/02/29/gabriel-jesus-o-predestinado-personagem-da-semana/, skipping...
[ERROR - 2025-10-25 20:34:11,795 - Worker_3] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2016/02/29/e-possivel-devolver-um-rio-a-cidade.htm, skipping...
[ERROR - 2025-10-25 20:34:11,844 - Worker_4] Status code == 403 for http://noticias.uol.com.br/midiaglobal/nytimes/2016/02/29/arquitetura-colonial-perde-espaco-no-vietna-e-moradores-lamentam.htm, skipping...
[ERROR - 2025-10-25 20:34:18,503 - Worker_3] Status code == 403 for http://negociosdoesporte.blogosfera.uol.com.br/2016/02/29/patrocinador-precisa-de-esporte-forte-para-ter-retorno/, skipping...
[ERROR - 2025-10-25 20:34:20,089 - Worker_2] Status code == 403 for http://pvc.blogosfera.uol.com.br/2016/02/29/palmeiras-faz-reuniao-de-apoio-depois-de-derrota-para-a-ferroviaria/, skipping...
[ERROR - 2025-10-25 20:34:20,845 - Worker_4] Status code == 403 for http://oblogdorugbi.blogosfera.uol.com.br/2016/02/29/rugbi-em-choque-vitoria-do-brasil-sobre-os-eua-repercute-pelo-mundo/, skipping...
[ERROR - 2025-10-25 20:34:21,330 - Worker_1] Status code == 403 for http://noticias.uol.com.br/politica/ultimas-noticias/2016/02/29/novo-ministro-da-justica-e-disse-contra-reducao-da-maioridade-penal.htm, skipping...
[ERROR - 2025-10-25 20:34:22,760 - Worker_3] Status code == 403 for http://blogdoavallone.blogosfera.uol.com.br/2016/02/28/dos-grandes-so-o-corinthians-venceu-e-no-finzinho/, skipping...
[ERROR - 2025-10-25 20:34:25,851 - Worker_1] Status code == 403 for http://nagradedomma.blogosfera.uol.com.br/2016/02/29/6-erros-que-tiraram-a-vitoria-de-anderson-silva/, skipping...
[ERROR - 2025-10-25 20:34:26,754 - Worker_2] Status code == 403 for http://mauriciostycer.blogosfera.uol.com.br/2016/02/29/gloria-pires-curte-os-memes-e-diz-sou-sincera-e-via-a-maioria-dos-filmes/, skipping...
[ERROR - 2025-10-25 20:34:31,626 - Worker_3] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2016/02/29/congresso-propoe-agenda-economica-independente-do-governo.htm, skipping...
[ERROR - 2025-10-25 20:34:35,669 - Worker_2] Status code == 403 for http://noticias.uol.com.br/internacional/ultimas-noticias/2016/02/29/antiquada-profissao-de-mordomo-tem-escola-britanica-tradicional-e-salario-de-invejar.htm, skipping...
[ERROR - 2025-10-25 20:34:39,951 - Worker_2] Status code == 403 for http://blogdosakamoto.blogosfera.uol.com.br/2016/02/29/meu-filho-recebeu-11-tiros-um-na-nuca-arrancou-seu-maxilar/, skipping...
[ERROR - 2025-10-25 20:34:42,570 - Worker_1] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/bbc/2016/02/29/o-que-a-saida-de-cardozo-significa-para-a-lava-jato.htm, skipping...
[ERROR - 2025-10-25 20:34:43,028 - Worker_4] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2016/02/29/nada-justifica-violencia-diz-kobra-sobre-grafiteiros-torturados.htm, skipping...
[ERROR - 2025-10-25 20:34:46,758 - Worker_1] Status code == 403 for http://noticias.uol.com.br/blogs-e-colunas/coluna/richard-branson/2016/02/29/como-oferecer-mais-ao-cliente-sem-levar-prejuizo.htm, skipping...
[ERROR - 2025-10-25 20:34:51,021 - Worker_1] Status code == 403 for http://colunaesplanada.blogosfera.uol.com.br/2016/02/29/havana-com-hoteis-lotados-para-a-vista-de-obama/, skipping...
[ERROR - 2025-10-25 20:34:54,090 - Worker_0] Status code == 403 for http://mauriciostycer.blogosfera.uol.com.br/2016/02/29/a-vergonha-da-noite-gloria-pires-comenta-o-oscar-sem-ter-visto-os-filmes/, skipping...
