[INFO - 2025-10-24 21:45:49,721 - MainThread] 2043 links from 'out/uol_links/2015/6-2015.txt'.
[ERROR - 2025-10-24 21:45:49,908 - Worker_1] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/bbc/2015/06/01/na-turquia-partido-de-gays-curdos-e-mulheres-tenta-mudar-jogo-politico.htm, skipping...
[ERROR - 2025-10-24 21:45:49,918 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2015/06/01/lider-do-governo-diz-que-maioridade-nao-pode-ser-votada-a-queima-roupa.htm, skipping...
[ERROR - 2025-10-24 21:45:53,142 - Worker_3] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2015/06/01/lava-jato-pede-condenacao-de-ex-executivos-da-camargo-correa.htm, skipping...
[ERROR - 2025-10-24 21:45:54,077 - Worker_0] Status code == 403 for http://noticias.uol.com.br/album/album-do-dia/2015/06/01/imagens-do-dia---1-de-junho-de-2015.htm?abrefoto=23, skipping...
[ERROR - 2025-10-24 21:45:54,765 - Worker_4] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2015/06/01/pais-deverao-pagar-tratamento-para-crianca-devolvida-para-adocao.htm, skipping...
[ERROR - 2025-10-24 21:45:55,688 - Worker_2] Status code == 403 for http://noticias.uol.com.br/blogs-e-colunas/coluna/paul-krugman/2015/06/01/aquela-sensacao-de-1914.htm, skipping...
[ERROR - 2025-10-24 21:45:58,328 - Worker_0] Status code == 403 for http://blogdoperrone.blogosfera.uol.com.br/2015/06/tenho-honra-em-trabalhar-na-cbf-diz-marco-aurelio-cunha/, skipping...
[ERROR - 2025-10-24 21:46:02,685 - Worker_2] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2015/06/01/aldo-rebelo-diz-que-ajuste-no-orcamento-e-contingencia-da-vida.htm, skipping...
[ERROR - 2025-10-24 21:46:07,765 - Worker_0] Status code == 403 for http://noticias.uol.com.br/politica/ultimas-noticias/2015/06/01/stf-vai-julgar-legalidade-de-doacoes-de-empresas-a-partidos-politicos.htm, skipping...
[ERROR - 2025-10-24 21:46:14,391 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2015/06/01/governo-deveria-ter-montado-grupo-sobre-maioridade-ha-22-anos-diz-cunha.htm, skipping...
[ERROR - 2025-10-24 21:46:16,787 - Worker_2] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/bbc/2015/06/01/no-japao-terra-dos-meus-pais-descobri-que-sou-100-brasileiro.htm, skipping...
[ERROR - 2025-10-24 21:46:29,229 - Worker_2] Status code == 403 for http://blogdomariomagalhaes.blogosfera.uol.com.br/2015/06/01/eduardo-cunha-e-pt-brigam-na-camara-mas-dividirao-palanque-no-rio-em-2016/, skipping...
[ERROR - 2025-10-24 21:46:41,164 - Worker_2] Status code == 403 for http://noticias.uol.com.br/ciencia/ultimas-noticias/efe/2015/06/01/estudo-revela-1-caso-de-reproducao-sem-sexo-em-vertebrados-fora-de-cativeiro.htm, skipping...
[ERROR - 2025-10-24 21:46:45,341 - Worker_2] Status code == 403 for http://economia.uol.com.br/noticias/infomoney/2015/05/14/a-grana-esta-curta-veja-10-maneiras-de-conseguir-uma-renda-extra.htm, skipping...
[ERROR - 2025-10-24 21:46:45,613 - Worker_3] Status code == 403 for http://economia.uol.com.br/noticias/reuters/2015/06/01/azul-desiste-de-ipo-pela-terceira-vez.htm, skipping...
[ERROR - 2025-10-24 21:46:51,761 - Worker_2] Status code == 403 for http://noticias.uol.com.br/internacional/ultimas-noticias/2015/06/01/barco-com-mais-de-400-pessoas-afunda-na-china.htm, skipping...
[ERROR - 2025-10-24 21:46:54,967 - Worker_3] Status code == 403 for http://noticias.uol.com.br/ciencia/ultimas-noticias/redacao/2015/05/21/veja-as-15-maiores-descobertas-cientificas-da-ultima-decada.htm, skipping...
[ERROR - 2025-10-24 21:46:55,925 - Worker_2] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2015/06/01/foram-gananciosos-diz-procuradoria-sobre-empreiteiros-da-lava-jato.htm, skipping...
[ERROR - 2025-10-24 21:46:59,129 - Worker_3] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2015/06/01/maioridade-penal-e-pauta-da-sociedade-diz-cunha.htm, skipping...
[ERROR - 2025-10-24 21:47:04,496 - Worker_4] Status code == 403 for http://economia.uol.com.br/noticias/redacao/2015/06/01/brasil-cobra-imposto-caro-mas-e-o-que-da-menos-retorno-a-populacao.htm, skipping...
[ERROR - 2025-10-24 21:47:08,681 - Worker_4] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2015/06/01/funcionarios-do-metro-de-sp-rejeitam-greve-prevista-para-esta-terca-feira.htm, skipping...
[ERROR - 2025-10-24 21:47:11,764 - Worker_2] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/bbc/2015/06/01/gritava-por-socorro-e-pedia-a-minha-mae-diz-adolescente-torturado-pelo-ei.htm, skipping...
[ERROR - 2025-10-24 21:47:17,080 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2015/06/01/alckmin-apoia-aecio-a-frente-do-psdb.htm, skipping...
[ERROR - 2025-10-24 21:47:19,907 - Worker_4] Status code == 403 for http://economia.uol.com.br/empreendedorismo/noticias/redacao/2015/06/01/ex-manicure-fez-pirulito-teve-pizzaria-e-fatura-r-15-mi-com-sobrancelha.htm, skipping...
