[INFO - 2025-10-22 07:56:30,294 - MainThread] 2389 links from 'out/uol_links/2014/7-2014.txt'.
[ERROR - 2025-10-22 07:56:30,750 - Worker_0] Status code == 403 for http://cornetafc.blogosfera.uol.com.br/2014/07/01/angulo-exclusivo-mostra-quem-salvou-a-argentina-em-bola-na-trave/, skipping...
[ERROR - 2025-10-22 07:56:30,761 - Worker_3] Status code == 403 for http://josiasdesouza.blogosfera.uol.com.br/2014/07/01/e-antinatural-barbosa-jogar-fora-10-anos-de-stf/, skipping...
[ERROR - 2025-10-22 07:56:33,214 - Worker_4] Status code == 403 for http://noticias.uol.com.br/politica/ultimas-noticias/2014/07/01/barbosa-se-tornou-bom-simbolo-contra-corrupcao-no-brasil-diz-barroso.htm, skipping...
[ERROR - 2025-10-22 07:56:34,941 - Worker_1] Status code == 404 for http://guia.uol.com.br/rio-de-janeiro/exposicoes/noticias/2014/06/30/mostra-explora-a-relacao-entre-arte-e-vida-e-ocupa-diversos-museus-do-rio.htm, skipping...
[ERROR - 2025-10-22 07:56:34,975 - Worker_3] Status code == 403 for http://mauriciostycer.blogosfera.uol.com.br/2014/07/01/usado-para-promover-em-familia-beijo-entre-mulheres-nao-significou-nada/, skipping...
[ERROR - 2025-10-22 07:56:37,270 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/reuters/2014/07/01/turistas-brasileiros-superam-britanicos-e-lideram-visitas-a-florida.htm, skipping...
[ERROR - 2025-10-22 07:56:37,913 - Worker_2] Status code == 403 for http://noticias.uol.com.br/politica/ultimas-noticias/2014/07/01/procuradora-pede-a-pf-que-abra-inquerito-contra-advogado-de-genoino.htm, skipping...
[ERROR - 2025-10-22 07:56:39,115 - Worker_1] Status code == 403 for http://noticias.uol.com.br/politica/ultimas-noticias/2014/07/01/seguranca-e-a-prioridade-para-internautas-do-uol-em-25-estados-e-no-df.htm, skipping...
[ERROR - 2025-10-22 07:56:39,781 - Worker_4] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2014/07/01/professor-espancado-diz-ter-sido-confundido-com-ladrao.htm, skipping...
[ERROR - 2025-10-22 07:56:41,443 - Worker_0] Status code == 403 for http://noticias.uol.com.br/midiaglobal/lemonde/2014/07/01/religioso-do-ira-e-esportista-e-inventor-do-humor-dentro-das-regras.htm, skipping...
[ERROR - 2025-10-22 07:56:46,990 - Worker_2] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2014/07/01/casal-e-preso-por-tortura-de-criancas-em-mg-por-causa-de-xixi-na-cama.htm, skipping...
[ERROR - 2025-10-22 07:56:48,930 - Worker_1] Status code == 403 for http://noticias.uol.com.br/opiniao/coluna/2014/07/01/jogadores-da-copa-e-atletas-de-fim-de-semana-devem-se-prevenir-contra-doencas-cardiacas.htm, skipping...
[ERROR - 2025-10-22 07:56:51,074 - Worker_2] Status code == 403 for http://noticias.uol.com.br/album/2014/07/01/pais-retratam-amizade-entre-bebe-e-cao-em-conta-no-instagram.htm?abrefoto=20, skipping...
[ERROR - 2025-10-22 07:57:01,825 - Worker_4] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2014/07/01/ladrao-rouba-taxi-no-rio-e-trafega-30-km-na-contramao.htm, skipping...
[ERROR - 2025-10-22 07:57:06,088 - Worker_4] Status code == 403 for http://achadoseconomicos.blogosfera.uol.com.br/2014/07/01/apos-alta-do-dolar-brasileiros-importam-us-45-bi-a-menos-no-semestre/, skipping...
[ERROR - 2025-10-22 07:57:22,791 - Worker_4] Status code == 404 for http://charges.uol.com.br/2014/07/01/cotidiano-emocional-abalado/, skipping...
[ERROR - 2025-10-22 07:57:32,447 - Worker_2] Status code == 404 for http://guia.uol.com.br/sao-paulo/teatro/noticias/2014/06/30/willem-dafoe-e-bailarino-mikhail-baryshnikov-encenam-peca-no-sesc-pinheiros.htm, skipping...
[ERROR - 2025-10-22 07:57:34,107 - Worker_4] Status code == 403 for http://noticias.uol.com.br/album/album-do-dia/2014/07/01/imagens-do-dia---1-de-julho-de-2014.htm?abrefoto=48, skipping...
[ERROR - 2025-10-22 07:57:38,831 - Worker_0] Status code == 403 for http://blogdojuca.uol.com.br/2014/07/deus-nao-salvou-a-america/, skipping...
[ERROR - 2025-10-22 07:58:02,890 - Worker_0] Status code == 404 for http://guia.uol.com.br/curitiba/noticias/2014/06/30/mostra-exibe-filmes-biograficos-com-historias-de-amor-dos-grandes-poetas.htm, skipping...
[ERROR - 2025-10-22 07:58:25,759 - Worker_0] Status code == 500 for http://copadomundo.uol.com.br/cidades-sede-e-estadios/2014/avaliacao/, skipping...
[ERROR - 2025-10-22 07:58:28,939 - Worker_2] Status code == 404 for http://guia.uol.com.br/rio-de-janeiro/criancas/noticias/2014/06/26/museus-e-shopping-oferecem-programacao-especial-de-ferias-para-criancas.htm, skipping...
[ERROR - 2025-10-22 07:58:29,111 - Worker_1] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2014/07/01/ganhador-da-mega-sena-no-rio-nao-foi-buscar-premio-de-r-213-milhoes.htm, skipping...
[ERROR - 2025-10-22 07:58:30,705 - Worker_3] Status code == 403 for http://noticias.uol.com.br/saude/ultimas-noticias/bbc/2014/06/30/homem-provoca-revolucao-feminina-ao-criar-maquina-de-absorventes-baratos-na-india.htm, skipping...
[ERROR - 2025-10-22 07:58:35,337 - Worker_2] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2014/07/01/sp-devera-ter-rodizio-ampliado-na-sexta-feira-diz-tatto.htm, skipping...
