[INFO - 2025-10-23 20:36:47,221 - MainThread] 2292 links from 'out/uol_links/2015/2-2015.txt'.
[ERROR - 2025-10-23 20:36:49,691 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2015/01/31/sp-planeja-restringir-captacao-de-industrias.htm, skipping...
[ERROR - 2025-10-23 20:36:49,742 - Worker_3] Status code == 404 for http://guia.uol.com.br/brasilia/noticias/2015/01/27/festas-e-blocos-agitam-o-pre-carnaval-em-brasilia-veja-agenda.htm, skipping...
[ERROR - 2025-10-23 20:36:49,899 - Worker_4] Status code == 403 for http://radiouol.blogosfera.uol.com.br/2015/01/30/ator-de-turma-do-didi-daniel-del-sarto-lanca-mpb-pop-em-disco-conceitual/, skipping...
[ERROR - 2025-10-23 20:36:51,657 - Worker_1] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/redacao/2015/01/31/aviao-cai-no-mar-e-piloto-e-salvo-por-paraquedas-veja-videos-de-destaque.htm, skipping...
[ERROR - 2025-10-23 20:36:51,896 - Worker_2] Status code == 404 for http://guia.uol.com.br/rio-de-janeiro/passeios/noticias/2015/01/30/alem-das-praias-cachoeiras-sao-boas-opcoes-para-se-refrescar-no-verao.htm, skipping...
[ERROR - 2025-10-23 20:36:53,751 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2015/01/31/seca-faz-cidade-submersa-ha-45-anos-ressurgir.htm, skipping...
[ERROR - 2025-10-23 20:36:53,797 - Worker_3] Status code == 403 for http://noticias.uol.com.br/album/album-do-dia/2015/01/31/imagens-do-dia---31-de-janeiro-de-2015.htm?abrefoto=25, skipping...
[ERROR - 2025-10-23 20:36:57,813 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/afp/2015/01/31/galapagos-sob-nova-ameaca-com-vazamento-toxico-de-navio-encalhado.htm, skipping...
[ERROR - 2025-10-23 20:37:00,159 - Worker_3] Status code == 403 for http://noticias.uol.com.br/midiaglobal/nytimes/2015/01/31/sarampo-se-espalha-pelos-eua-e-chega-a-14-estados-e-84-casos-confirmados.htm, skipping...
[ERROR - 2025-10-23 20:37:04,322 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/efe/2015/01/31/premie-japones-considera-desprezivel-a-decapitacao-de-goto.htm, skipping...
[ERROR - 2025-10-23 20:37:06,696 - Worker_4] Failed to connect with http://natelinha.ne10.uol.com.br/novelas/2015/01/31/imperio-cora-e-baleada-por-homem-misterioso-durante-desfile-na-sapucai-85115.php after 3 attempts, skipping...
[ERROR - 2025-10-23 20:37:08,376 - Worker_0] Status code == 404 for http://guia.uol.com.br/rio-de-janeiro/exposicoes/noticias/2015/01/27/dupla-osgemeos-inaugura-instalacao-em-museu-no-rio-e-participa-de-bate-papo.htm, skipping...
[ERROR - 2025-10-23 20:37:10,843 - Worker_4] Status code == 403 for http://nagradedomma.blogosfera.uol.com.br/2015/01/31/a-emocao-de-minotauro-com-a-volta-de-anderson-silva/, skipping...
[ERROR - 2025-10-23 20:37:12,436 - Worker_0] Status code == 404 for http://guia.uol.com.br/belo-horizonte/noticias/2015/01/22/exposicao-em-bh-reproduz-o-espaco-sideral-de-forma-ludica.htm, skipping...
[ERROR - 2025-10-23 20:37:13,746 - Worker_3] Status code == 403 for http://mauriciostycer.blogosfera.uol.com.br/2015/01/01/o-importante-e-competir-esqueceram-de-avisar-a-eliminada-do-the-bachelor/, skipping...
