[INFO - 2025-10-24 19:03:56,618 - MainThread] 2044 links from 'out/uol_links/2015/4-2015.txt'.
[ERROR - 2025-10-24 19:03:56,796 - Worker_4] Status code == 403 for http://noticias.uol.com.br/album/album-do-dia/2015/03/31/imagens-do-dia---31-de-marco-de-2015.htm?abrefoto=33, skipping...
[ERROR - 2025-10-24 19:03:57,136 - Worker_2] Status code == 403 for http://josiasdesouza.blogosfera.uol.com.br/2015/03/31/menor-na-cadeia-e-inicio-de-problema-nao-o-fim/, skipping...
[ERROR - 2025-10-24 19:03:59,146 - Worker_0] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2015/03/31/proposta-que-preve-a-reducao-da-maioridade-penal-avanca-na-camara.htm, skipping...
[ERROR - 2025-10-24 19:03:59,510 - Worker_3] Status code == 403 for http://reginanavarro.blogosfera.uol.com.br/2015/03/31/paixao-e-sofrimento/, skipping...
[ERROR - 2025-10-24 19:04:07,232 - Worker_2] Failed to connect with http://natelinha.ne10.uol.com.br/bbb15/2015/03/31/mariza-responsabiliza-adrilles-pela-sua-saida-e-diz-ter-pena-de-fernando-87480.php after 3 attempts, skipping...
[ERROR - 2025-10-24 19:04:07,643 - Worker_1] Status code == 403 for http://andreoli.blogosfera.uol.com.br/2015/03/31/nany-people-namorou-mais-jogadores-do-corinthians/, skipping...
[ERROR - 2025-10-24 19:04:07,720 - Worker_0] Status code == 404 for http://esporte.uol.com.br/futebol/campeonatos/estadual-do-rio/ultimas-noticias/2015/03/31/walter-surpreende-e-abandona-treino-flu-se-pronunciara-na-quarta.htm, skipping...
[ERROR - 2025-10-24 19:04:11,393 - Worker_2] Status code == 403 for http://noticias.uol.com.br/politica/ultimas-noticias/2015/03/31/ma-contrata-sem-licitacao-empresa-de-cunhada-do-governador-flavio-dino.htm, skipping...
[ERROR - 2025-10-24 19:04:14,301 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2015/03/31/neste-pais-empresario-nao-consegue-nada-sem-lobby-diz-doleiro.htm, skipping...
[ERROR - 2025-10-24 19:04:15,569 - Worker_2] Status code == 403 for http://noticias.uol.com.br/opiniao/coluna/2015/03/31/ao-contrario-do-que-diz-governo-luz-mais-cara-veio-para-ficar.htm, skipping...
[ERROR - 2025-10-24 19:04:18,567 - Worker_0] Status code == 403 for http://uolesportevetv.blogosfera.uol.com.br/2015/03/31/maite-proenca-promete-ficar-peladissima-se-botafogo-voltar-a-serie-a/, skipping...
[ERROR - 2025-10-24 19:04:18,618 - Worker_3] Status code == 403 for http://negociosdoesporte.blogosfera.uol.com.br/2015/03/31/bahia-mostra-como-o-futebol-esta-parado-no-tempo/, skipping...
[ERROR - 2025-10-24 19:04:22,779 - Worker_3] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/ansa/2015/03/31/video-mostra-ultimos-instantes-de-voo-da-germanwings.htm, skipping...
[ERROR - 2025-10-24 19:04:23,881 - Worker_1] Status code == 403 for http://noticias.uol.com.br/internacional/ultimas-noticias/2015/03/31/policia-turca-liberta-promotor-e-mata-sequestradores-ligados-a-grupo-radical-de-esquerda.htm, skipping...
[ERROR - 2025-10-24 19:04:39,993 - Worker_0] Status code == 403 for http://nilsonxavier.blogosfera.uol.com.br/2015/03/31/ricardo-linhares-de-babilonia-ja-abordou-a-intolerancia-em-saramandaia/, skipping...
[ERROR - 2025-10-24 19:04:43,365 - Worker_3] Status code == 403 for http://fernandorodrigues.blogosfera.uol.com.br/2015/03/30/3-agentes-fifa-e-2-empresarios-ligados-a-ricardo-teixeira-na-lista-do-hsbc/, skipping...
[ERROR - 2025-10-24 19:04:50,414 - Worker_4] Status code == 403 for http://pvc.blogosfera.uol.com.br/2015/03/31/os-inimigos-intimos-de-muricy-ramalho-no-sao-paulo-em-crise/, skipping...
[ERROR - 2025-10-24 19:04:54,651 - Worker_4] Status code == 403 for http://rodrigomattos.blogosfera.uol.com.br/2015/03/31/precisamos-alimentar-o-elefante-diz-secretario-sobre-mane-garrincha/, skipping...
