[INFO - 2025-10-21 17:50:21,856 - MainThread] 2216 links from 'out/uol_links/2014/4-2014.txt'.
[ERROR - 2025-10-21 17:50:22,041 - Worker_0] Status code == 403 for http://noticias.uol.com.br/album/2014/03/31/atos-lembram-os-50-anos-do-golpe-militar-no-brasil.htm?abrefoto=38, skipping...
[ERROR - 2025-10-21 17:50:22,053 - Worker_1] Status code == 403 for http://noticias.uol.com.br/midiaglobal/nytimes/2014/04/01/legisladores-europeus-vao-votar-sobre-neutralidade-da-internet.htm, skipping...
[ERROR - 2025-10-21 17:50:26,203 - Worker_0] Status code == 403 for http://noticias.uol.com.br/internacional/ultimas-noticias/2014/04/01/deputada-de-oposicao-destituida-do-cargo-e-impedida-de-entrar-no-parlamento-venezuelano.htm, skipping...
[ERROR - 2025-10-21 17:50:29,956 - Worker_2] Status code == 403 for http://fernandorodrigues.blogosfera.uol.com.br/2014/04/01/governo-fica-nas-maos-de-renan-calheiros/, skipping...
[ERROR - 2025-10-21 17:50:36,310 - Worker_0] Failed to connect with http://natelinha.ne10.uol.com.br/bbb14/2014/04/01/bbb14-clara-sugere-que-angela-coloque-seu-silicone-pelo-mamilo-73441.php after 3 attempts, skipping...
[ERROR - 2025-10-21 17:50:40,543 - Worker_0] Status code == 403 for http://noticias.uol.com.br/politica/ultimas-noticias/2014/03/31/como-a-ditadura-sequestrou-criancas-e-torturou-familias-inteiras-para-obter-delacoes.htm, skipping...
[ERROR - 2025-10-21 17:50:44,744 - Worker_3] Status code == 403 for http://noticias.uol.com.br/album/album-do-dia/2014/04/01/imagens-do-dia---1-de-abril-de-2014.htm?abrefoto=53, skipping...
[ERROR - 2025-10-21 17:50:46,345 - Worker_2] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2014/04/01/justica-proibe-que-imagens-sacras-de-aleijadinho-sejam-vendidas.htm, skipping...
[ERROR - 2025-10-21 17:50:55,556 - Worker_2] Status code == 403 for http://reginanavarro.blogosfera.uol.com.br/2014/04/01/loucuras-da-paixao/, skipping...
[ERROR - 2025-10-21 17:51:02,564 - Worker_2] Status code == 403 for http://noticias.uol.com.br/midiaglobal/lemonde/2014/04/01/obama-tenta-reconquistar-confianca-dos-americanos-apos-escandalo-da-nsa.htm, skipping...
[ERROR - 2025-10-21 17:51:14,822 - Worker_1] Status code == 404 for http://carnaval.uol.com.br/2014/salvador/, skipping...
[ERROR - 2025-10-21 17:51:19,124 - Worker_3] Status code == 404 for http://carnaval.uol.com.br/2014/sao-paulo/, skipping...
[ERROR - 2025-10-21 17:51:25,756 - Worker_3] Status code == 403 for http://noticias.uol.com.br/politica/ultimas-noticias/2014/04/01/pela-1-vez-forcas-armadas-reconhecem-violacoes-na-ditadura-diz-coordenador-da-cnv.htm, skipping...
[ERROR - 2025-10-21 17:51:30,386 - Worker_2] Failed to connect with http://blogdobirner.virgula.uol.com.br/2014/04/01/as-diferentes-formas-do-trio-de-ferro-fracassar/ after 3 attempts, skipping...
[ERROR - 2025-10-21 17:51:34,551 - Worker_2] Status code == 403 for http://noticias.uol.com.br/politica/ultimas-noticias/2014/04/01/senado-le-requerimento-da-cpi-da-petrobras-oposicao-quer-comissao-mista.htm, skipping...
[ERROR - 2025-10-21 17:51:46,471 - Worker_1] Status code == 404 for http://carnaval.uol.com.br/2014/rio-de-janeiro/, skipping...
[ERROR - 2025-10-21 17:51:48,906 - Worker_0] Status code == 403 for http://noticias.uol.com.br/album/2014/04/01/aeroportos-brasileiros.htm?abrefoto=1, skipping...
[ERROR - 2025-10-21 17:51:50,543 - Worker_1] Status code == 404 for http://guia.uol.com.br/brasilia/restaurantes/noticias/2014/04/01/novo-na-asa-sul-genghis-khan-serve-culinaria-japonesa-tradicional.htm, skipping...
[ERROR - 2025-10-21 17:51:53,225 - Worker_3] Status code == 404 for http://guia.uol.com.br/belo-horizonte/noticias/2014/03/27/bh-recebe-maior-mostra-de-ingmar-bergman-da-america-latina.htm, skipping...
[ERROR - 2025-10-21 17:51:53,348 - Worker_2] Status code == 403 for http://noticias.uol.com.br/midiaglobal/lemonde/2014/04/01/com-ajuda-do-exercito-turco-rebeldes-chegam-a-costa-da-siria.htm, skipping...
[ERROR - 2025-10-21 17:51:57,654 - Worker_2] Status code == 404 for http://carnaval.uol.com.br/2014/blocos-de-rua/, skipping...
[ERROR - 2025-10-21 17:51:57,872 - Worker_3] Status code == 403 for http://mauriciostycer.blogosfera.uol.com.br/2014/04/01/a-liberalissima-ana-paula-padrao-acha-rachel-sheherazade-um-perigo/, skipping...
[ERROR - 2025-10-21 17:52:00,352 - Worker_0] Status code == 404 for http://guia.uol.com.br/curitiba/restaurantes/noticias/2014/03/31/9-curitiba-restaurant-week-comeca-nesta-segunda-31-veja-participantes.htm, skipping...
[ERROR - 2025-10-21 17:52:02,195 - Worker_3] Status code == 404 for http://carnaval.uol.com.br/2014/recife-e-olinda/, skipping...
[ERROR - 2025-10-21 17:52:04,839 - Worker_2] Status code == 404 for http://guia.uol.com.br/belo-horizonte/noticias/2014/03/18/exposicao-apresenta-59-obras-de-portinari-do-colecionador-castro-maya.htm, skipping...
[ERROR - 2025-10-21 17:52:12,903 - Worker_1] Status code == 403 for http://omundoemmovimento.blogosfera.uol.com.br/2014/04/01/em-mes-fraco-gol-perde-a-lideranca/, skipping...
[ERROR - 2025-10-21 17:52:21,139 - Worker_3] Status code == 403 for http://negociosdoesporte.blogosfera.uol.com.br/2014/04/02/adidas-e-nike-levam-ao-consumidor-desespero-da-copa/, skipping...
[ERROR - 2025-10-21 17:52:24,259 - Worker_2] Status code == 403 for http://economia.uol.com.br/noticias/valor-online/2014/04/01/aneel-aprova-resolucao-para-adocao-de-conta-de-luz-pre-paga.htm, skipping...
[ERROR - 2025-10-21 17:52:25,362 - Worker_3] Status code == 403 for http://uolesportevetv.blogosfera.uol.com.br/2014/04/02/ronaldo-giovanelli-anuncia-renovacao-com-a-band-por-dois-anos/, skipping...
[ERROR - 2025-10-21 17:52:34,348 - Worker_3] Status code == 404 for http://carnaval.uol.com.br/2014/salvador/, skipping...
[ERROR - 2025-10-21 17:52:35,999 - Worker_4] Status code == 403 for http://uolesporte.blogosfera.uol.com.br/2014/04/02/apos-vitoria-psg-provoca-torcedores-do-chelsea-no-facebook/, skipping...
