[INFO - 2025-10-21 21:23:41,013 - MainThread] 2304 links from 'out/uol_links/2014/6-2014.txt'.
[ERROR - 2025-10-21 21:23:41,313 - Worker_2] Status code == 403 for http://noticias.uol.com.br/midiaglobal/the-international-new-york-times/2014/06/01/festival-de-cinema-gay-na-india-transmite-mensagem-de-igualdade.htm, skipping...
[ERROR - 2025-10-21 21:23:43,615 - Worker_4] Status code == 403 for http://noticias.uol.com.br/tabloide/ultimas-noticias/2014/06/01/e-deu-brasil-no-mister-turismo-internacional-cantor-sertanejo-gato-venceu.htm, skipping...
[ERROR - 2025-10-21 21:23:43,620 - Worker_1] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2014/06/01/onibus-fica-so-1-kmh-mais-rapido-com-faixas.htm, skipping...
[ERROR - 2025-10-21 21:23:46,791 - Worker_3] Status code == 403 for http://josecruz.blogosfera.uol.com.br/2014/06/copa-2014-e-ja-rolou-a-festa/, skipping...
[ERROR - 2025-10-21 21:23:47,685 - Worker_4] Status code == 403 for http://noticias.uol.com.br/midiaglobal/the-international-new-york-times/2014/06/01/imigrantes-nos-eua-ouvem-duas-historias-totalmente-opostas-sobre-si-mesmos.htm, skipping...
[ERROR - 2025-10-21 21:23:48,191 - Worker_2] Status code == 403 for http://uolesporte.blogosfera.uol.com.br/2014/05/31/neymar-coloca-muito-efeito-na-bola-e-faz-gol-impossivel-veja/, skipping...
[ERROR - 2025-10-21 21:23:50,867 - Worker_3] Status code == 403 for http://noticias.uol.com.br/opiniao/coluna/2014/06/01/momento-de-transicao-nas-artes-e-reflexo-de-mudancas-na-sociedade.htm, skipping...
[ERROR - 2025-10-21 21:23:52,735 - Worker_0] Status code == 403 for http://tecnologia.uol.com.br/noticias/redacao/2014/05/30/facebook-aprenda-a-esconder-grupos-dos-quais-voce-participa.htm, skipping...
[ERROR - 2025-10-21 21:24:36,036 - Worker_2] Status code == 403 for http://blogdojuca.uol.com.br/2014/06/o-incrivel-gol-de-hulk/, skipping...
[ERROR - 2025-10-21 21:24:38,135 - Worker_4] Status code == 404 for http://guia.uol.com.br/curitiba/cinema/noticias/2014/05/28/festival-olhar-de-cinema-traz-retrospectiva-da-obra-de-stanley-kubrick.htm, skipping...
[ERROR - 2025-10-21 21:24:38,487 - Worker_1] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/ansa/2014/06/01/pizza-margherita-faz-aniversario-neste-mes.jhtm, skipping...
[ERROR - 2025-10-21 21:24:42,630 - Worker_1] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2014/06/01/black-blocs-prometem-caos-na-copa-com-ajuda-do-pcc.htm, skipping...
[ERROR - 2025-10-21 21:24:44,255 - Worker_0] Status code == 403 for http://colunaesplanada.blogosfera.uol.com.br/2014/06/01/com-caixa-apertado-infraero-estreia-em-dezembro-nova-sede-a-r-380-milmes/, skipping...
[ERROR - 2025-10-21 21:25:03,202 - Worker_2] Status code == 404 for http://guia.uol.com.br/album/2014/05/30/roteiro-traz-motivos-para-sair-de-casa-mesmo-em-dias-frios-e-de-chuva-em-sp.htm, skipping...
[ERROR - 2025-10-21 21:25:07,504 - Worker_2] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/efe/2014/06/01/eua-obtem-milhoes-de-fotos-pessoais-por-dia-espionando-mensagens-diz-nyt.htm, skipping...
[ERROR - 2025-10-21 21:25:09,010 - Worker_0] Status code == 403 for http://noticias.uol.com.br/album/2014/06/01/como-ficam-tatuagens-apos-o-envelhecimento.htm?abrefoto=7, skipping...
[ERROR - 2025-10-21 21:25:10,167 - Worker_3] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2014/06/01/um-ano-apos-inicio-de-protestos-leis-contra-manifestacoes-estao-paradas.htm, skipping...
[ERROR - 2025-10-21 21:25:19,101 - Worker_0] Failed to connect with http://natelinha.ne10.uol.com.br/mulher/2014/05/28/atrizes-inspiram-mulheres-a-adotarem-cabelos-cada-vez-mais-curtos-75497.php after 3 attempts, skipping...
[ERROR - 2025-10-21 21:25:20,961 - Worker_2] Status code == 403 for http://noticias.uol.com.br/tabloide/ultimas-noticias/tabloideanas/2014/06/02/professora-americana-flagra-neve-brincando-em-escorregador.htm, skipping...
[ERROR - 2025-10-21 21:25:23,183 - Worker_0] Status code == 403 for http://noticias.uol.com.br/midiaglobal/prospect/2014/06/02/escritor-ian-morris-explora-como-guerras-trouxeram-paz-ao-longo-de-milenios.htm, skipping...
[ERROR - 2025-10-21 21:25:24,315 - Worker_1] Status code == 403 for http://tecnologia.uol.com.br/noticias/redacao/2014/06/02/apple-ios-8-mantem-design-e-estreia-central-de-saude-para-usuario.htm, skipping...
[ERROR - 2025-10-21 21:25:35,398 - Worker_1] Status code == 403 for http://noticias.uol.com.br/internacional/ultimas-noticias/2014/06/02/destroco-de-aviao-desaparecido-ha-55-anos-e-achado-no-estreito-de-taiwan.htm, skipping...
[ERROR - 2025-10-21 21:25:35,400 - Worker_2] Status code == 403 for http://noticias.uol.com.br/tabloide/ultimas-noticias/tabloideanas/2014/06/02/brasileiro-faz-cirurgias-plasticas-para-ficar-com-aparencia-asiatica.htm, skipping...
[ERROR - 2025-10-21 21:25:39,573 - Worker_2] Status code == 403 for http://noticias.uol.com.br/midiaglobal/derspiegel/2014/06/02/para-ministro-alemao-das-financas-conchita-wurst-demonstra-forcas-da-ue.htm, skipping...
[ERROR - 2025-10-21 21:25:45,519 - Worker_1] Failed to connect with http://motordream.uol.com.br/noticias/ver/2014/05/29/jac-ja-baixou-em-r-20-mil-o-preco-da-recem-lancada-t8 after 3 attempts, skipping...
