[INFO - 2025-10-24 09:28:41,441 - MainThread] 2319 links from 'out/uol_links/2015/3-2015.txt'.
[ERROR - 2025-10-24 09:28:41,553 - Worker_2] Status code == 404 for http://guia.uol.com.br/belo-horizonte/noticias/2015/02/15/de-bordados-a-brinquedos-veja-cinco-museus-pouco-conhecidos-em-bh.htm, skipping...
[ERROR - 2025-10-24 09:28:41,789 - Worker_0] Status code == 403 for http://doutorjairo.blogosfera.uol.com.br/2015/02/27/esta-mais-dificil-superar-a-dor-de-amor-estudo-pode-explicar-por-que/, skipping...
[ERROR - 2025-10-24 09:28:41,795 - Worker_3] Status code == 403 for http://pvc.blogosfera.uol.com.br/2015/03/01/no-aniversario-do-rio-botafogo-da-450-razoes-para-acreditar/, skipping...
[ERROR - 2025-10-24 09:28:46,013 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/efe/2015/03/01/arabia-saudita-ergue-muros-no-deserto-para-se-proteger-do-jihadismo.htm, skipping...
[ERROR - 2025-10-24 09:28:46,993 - Worker_4] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2015/03/01/universitario-morto-em-bauru-sp-bebeu-pelo-menos-25-copos-de-vodca.htm, skipping...
[ERROR - 2025-10-24 09:28:48,369 - Worker_1] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/efe/2015/03/01/novo-rastreamento-de-avioes-sera-testado-para-evitar-casos-como-o-do-voo-mh37.htm, skipping...
[ERROR - 2025-10-24 09:28:52,455 - Worker_1] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/reuters/2015/03/01/estado-islamico-liberta-19-cristaos-mais-de-200-continuam-presos.htm, skipping...
[ERROR - 2025-10-24 09:28:56,090 - Worker_3] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2015/03/01/protesto-de-caminhoneiros-complica-transito-na-rodovia-anhanguera-sp.htm, skipping...
[ERROR - 2025-10-24 09:28:56,470 - Worker_4] Status code == 403 for http://tecnologia.uol.com.br/noticias/redacao/2015/03/01/samsung-anuncia-dois-novos-galaxy-s6-um-dos-modelos-tem-tela-curva.htm, skipping...
[ERROR - 2025-10-24 09:28:58,076 - Worker_0] Status code == 403 for http://mauriciostycer.blogosfera.uol.com.br/2015/03/01/chega-mais-promete-mudar-a-cara-do-domingo-mas-nao-escapa-da-mesmice/, skipping...
[ERROR - 2025-10-24 09:29:00,726 - Worker_2] Status code == 403 for http://economia.uol.com.br/noticias/redacao/2015/03/01/governo-diz-que-vai-ampliar-forcas-policiais-para-liberar-rodovias.htm, skipping...
[ERROR - 2025-10-24 09:29:00,883 - Worker_3] Status code == 404 for http://blogs.ne10.uol.com.br/jamildo/2015/03/01/de-geraldo-julio-a-renata-campos-saiba-quem-sao-os-conselheiros-politicos-do-governador-paulo-camara/, skipping...
