[INFO - 2025-10-21 14:25:12,230 - MainThread] 2471 links from 'out/uol_links/2014/2-2014.txt'.
[ERROR - 2025-10-21 14:25:19,577 - Worker_0] Status code == 403 for http://blogdojuliogomes.blogosfera.uol.com.br/2014/02/01/aragones-foi-o-homem-que-mudou-os-rumos-da-espanha/, skipping...
[ERROR - 2025-10-21 14:25:23,865 - Worker_0] Status code == 404 for http://carnaval.uol.com.br/2014/salvador/, skipping...
[ERROR - 2025-10-21 14:25:24,727 - Worker_4] Status code == 404 for http://carnaval.uol.com.br/2014/sao-paulo/, skipping...
[ERROR - 2025-10-21 14:25:32,758 - Worker_2] Status code == 404 for http://placar.esporte.uol.com.br/futebol/paulista/?id=/2014/02/01/santos-x-botafogo-sp, skipping...
[ERROR - 2025-10-21 14:25:34,105 - Worker_4] Status code == 404 for http://esporte.uol.com.br/f1/ultimas-noticias/2014/02/01/chefe-de-schumacher-e-barrichello-ross-brawn-anuncia-aposentadoria.htm, skipping...
[ERROR - 2025-10-21 14:25:38,181 - Worker_3] Status code == 403 for http://mauriciostycer.blogosfera.uol.com.br/2014/02/01/amor-a-vida-atirou-em-todas-as-direcoes-e-so-acertou-no-que-nao-previu/, skipping...
[ERROR - 2025-10-21 14:25:40,439 - Worker_4] Status code == 403 for http://educacao.uol.com.br/noticias/2014/02/01/filho-de-ex-jogador-da-selecao-brasileira-de-futebol-e-campeao-no-sisu.htm, skipping...
[ERROR - 2025-10-21 14:25:44,694 - Worker_4] Status code == 404 for http://carnaval.uol.com.br/2014/rio-de-janeiro/, skipping...
[ERROR - 2025-10-21 14:25:48,779 - Worker_1] Status code == 404 for http://criancas.uol.com.br/album/2014/01/31/na-volta-as-aulas-veja-uma-selecao-de-livros-com-aventuras-na-escola.jhtm?abrefoto=1, skipping...
[ERROR - 2025-10-21 14:25:53,038 - Worker_1] Status code == 404 for http://carnaval.uol.com.br/2014/blocos-de-rua/, skipping...
[ERROR - 2025-10-21 14:26:00,290 - Worker_0] Status code == 404 for http://carnaval.uol.com.br/2014/recife-e-olinda/, skipping...
