[INFO - 2025-10-16 11:01:27,682 - MainThread] 12 file(s) to process.
[INFO - 2025-10-16 11:01:27,682 - MainThread] 703 links from 'out/uol_links/2010/10-2010.txt'.
[INFO - 2025-10-16 11:01:27,688 - MainThread] 575 links from 'out/uol_links/2010/11-2010.txt'.
[INFO - 2025-10-16 11:01:27,690 - MainThread] 718 links from 'out/uol_links/2010/8-2010.txt'.
[INFO - 2025-10-16 11:01:27,693 - MainThread] 264 links from 'out/uol_links/2010/9-2010.txt'.
[INFO - 2025-10-16 11:01:27,694 - MainThread] 793 links from 'out/uol_links/2010/2-2010.txt'.
[INFO - 2025-10-16 11:01:27,697 - MainThread] 770 links from 'out/uol_links/2010/3-2010.txt'.
[INFO - 2025-10-16 11:01:27,700 - MainThread] 547 links from 'out/uol_links/2010/5-2010.txt'.
[INFO - 2025-10-16 11:01:27,702 - MainThread] 871 links from 'out/uol_links/2010/4-2010.txt'.
[INFO - 2025-10-16 11:01:27,704 - MainThread] 753 links from 'out/uol_links/2010/1-2010.txt'.
[INFO - 2025-10-16 11:01:27,707 - MainThread] 523 links from 'out/uol_links/2010/12-2010.txt'.
[INFO - 2025-10-16 11:01:27,709 - MainThread] 644 links from 'out/uol_links/2010/6-2010.txt'.
[INFO - 2025-10-16 11:01:27,711 - MainThread] 577 links from 'out/uol_links/2010/7-2010.txt'.
[ERROR - 2025-10-16 11:01:27,746 - Worker_4] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/internacional/2010/10/01/contraterrorismo-dos-eua-afirma-que-bin-laden-estaria-ligado-a-planos-de-ataques-na-europa.jhtm, skipping...
[ERROR - 2025-10-16 11:01:27,746 - Worker_1] Status code == 403 for http://noticias.uol.com.br/ultnot/cienciaesaude/ultimas-noticias/2010/09/30/sexo-de-morcegos-e-ranho-de-baleia-ganham-o-ignobel-2010.jhtm, skipping...
[ERROR - 2025-10-16 11:01:32,364 - Worker_3] Status code == 403 for http://noticias.uol.com.br/midiaglobal/lemonde/2010/10/01/brasil-os-anos-lula-contam-uma-historia-bem-bonita.jhtm, skipping...
[ERROR - 2025-10-16 11:01:32,927 - Worker_2] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/internacional/2010/10/01/apos-crise-equador-amanhece-calmo-e-com-palacio-presidencial-protegido.jhtm, skipping...
[ERROR - 2025-10-16 11:01:37,176 - Worker_1] Status code == 404 for http://entretenimento.uol.com.br/ultnot/2010/10/01/edney-silvestre-vence-o-premio-jabuti-veja-lista-dos-ganhadores.jhtm, skipping...
[ERROR - 2025-10-16 11:01:39,266 - Worker_2] Status code == 403 for http://noticias.uol.com.br/ultnot/cienciaesaude/ultimas-noticias/2010/09/30/tomar-remedio-na-hora-errada-pode-diminuir-sua-eficacia.jhtm, skipping...
[ERROR - 2025-10-16 11:01:40,938 - Worker_3] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/internacional/2010/10/01/resgate-de-mineiros-presos-no-chile-sera-na-segunda-quinzena-de-outubro-diz-ministro.jhtm, skipping...
[ERROR - 2025-10-16 11:01:41,519 - Worker_1] Status code == 403 for http://uolcarros.blogosfera.uol.com.br/2010/10/01/chevrolet-frente-e-verso-do-cruze-hatch-e-do-orlando/, skipping...
[ERROR - 2025-10-16 11:01:43,457 - Worker_4] Status code == 403 for http://noticias.uol.com.br/cotidiano/2010/10/01/ponte-volta-a-funcionar-mas-transito-ainda-e-lento-em-porto-alegre.jhtm, skipping...
[ERROR - 2025-10-16 11:01:46,018 - Worker_0] Status code == 403 for http://noticias.uol.com.br/cotidiano/2010/10/01/mae-de-garoto-morto-em-escola-no-embu-sp-diz-bala-de-revolver-foi-oferecida-ao-filho.jhtm, skipping...
