[INFO - 2025-10-26 15:20:59,951 - MainThread] 8 file(s) to process.
[INFO - 2025-10-26 15:20:59,953 - MainThread] 1919 links from 'out/uol_links/2016/11-2016.txt'.
[INFO - 2025-10-26 15:20:59,962 - MainThread] 2148 links from 'out/uol_links/2016/10-2016.txt'.
[INFO - 2025-10-26 15:20:59,972 - MainThread] 2042 links from 'out/uol_links/2016/9-2016.txt'.
[INFO - 2025-10-26 15:20:59,980 - MainThread] 2327 links from 'out/uol_links/2016/8-2016.txt'.
[INFO - 2025-10-26 15:20:59,989 - MainThread] 2139 links from 'out/uol_links/2016/5-2016.txt'.
[INFO - 2025-10-26 15:20:59,997 - MainThread] 1976 links from 'out/uol_links/2016/12-2016.txt'.
[INFO - 2025-10-26 15:21:00,004 - MainThread] 2035 links from 'out/uol_links/2016/7-2016.txt'.
[INFO - 2025-10-26 15:21:00,025 - MainThread] 2106 links from 'out/uol_links/2016/6-2016.txt'.
[ERROR - 2025-10-26 15:21:06,230 - Worker_2] Status code == 403 for http://blogdopraetzel.blogosfera.uol.com.br/2016/11/01/paulo-andre-esclarece-fim-do-bom-senso-e-ve-modelo-brasileiro-esgotado, skipping...
[ERROR - 2025-10-26 15:21:14,006 - Worker_2] Status code == 404 for http://blogs.ne10.uol.com.br/jamildo/2016/11/01/antonio-campos-acusa-viuva-de-eduardo-de-querer-acabar-com-familia/, skipping...
[ERROR - 2025-10-26 15:21:17,142 - Worker_3] Status code == 403 for http://educacao.uol.com.br/noticias/2016/11/01/minas-gerais-tem-maior-numero-de-inscritos-que-terao-enem-adiado.htm, skipping...
[ERROR - 2025-10-26 15:21:30,587 - Worker_1] Status code == 404 for http://eleicoes.uol.com.br/2016/noticias/2016/11/01/apos-aliado-vencer-richa-diz-que-voltara-subsidio-a-transporte-de-curitiba.htm, skipping...
[ERROR - 2025-10-26 15:21:55,760 - Worker_3] Status code == 403 for http://blogdosakamoto.blogosfera.uol.com.br/2016/11/01/juiz-ignora-convencao-da-onu-sobre-tortura-ao-autorizar-acao-contra-alunos/, skipping...
[ERROR - 2025-10-26 15:22:10,628 - Worker_3] Failed to connect with http://carsale.uol.com.br/lancamentos/2016/11/01/hyundai-veloster-turbo-de-204-cv-ja-esta-a-venda-no-brasil-por-r-140-mil/ after 3 attempts, skipping...
[ERROR - 2025-10-26 15:22:14,089 - Worker_1] Status code == 403 for http://josiasdesouza.blogosfera.uol.com.br/2016/11/01/bolsa-sonegador-faz-bom-contribuinte-de-otario/, skipping...
[ERROR - 2025-10-26 15:22:17,133 - Worker_0] Status code == 404 for http://entretenimento.band.uol.com.br/bandfolia/2016/noticia.asp?id=100000829401&t=alinne-rosa-lanca-primeira-musica-autoral-estou-me-descobrindo, skipping...
[ERROR - 2025-10-26 15:22:17,400 - Worker_3] Status code == 403 for http://noticias.uol.com.br/midiaglobal/nytimes/2016/11/01/china-faz-reassentamento-em-massa-de-migrantes-ecologicos.htm, skipping...
[ERROR - 2025-10-26 15:22:20,707 - Worker_1] Status code == 403 for http://educacao.uol.com.br/noticias/2016/11/01/por-causa-de-ocupacoes-195-mil-alunos-farao-o-enem-nos-dias-3-e-4-de-dezembro.htm, skipping...
[ERROR - 2025-10-26 15:22:20,891 - Worker_4] Status code == 403 for http://educacao.uol.com.br/noticias/2016/11/01/mesmo-com-enem-estudantes-mantem-ocupacoes-de-escolas-no-rio.htm, skipping...
[ERROR - 2025-10-26 15:22:21,577 - Worker_3] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2016/11/01/estado-de-sp-ira-recorrer-de-condenacao-por-violencia-policial-em-2013.htm, skipping...
[ERROR - 2025-10-26 15:22:23,182 - Worker_2] Status code == 403 for http://blogdopraetzel.blogosfera.uol.com.br/2016/11/02/caio-jr-sonha-com-a-s-americana-e-esta-pronto-para-qualquer-time-do-mundo/, skipping...
[ERROR - 2025-10-26 15:22:25,882 - Worker_3] Status code == 403 for http://uolesporte.blogosfera.uol.com.br/2016/11/02/frances-coloca-mansao-de-r-22-6-mi-a-venda-imovel-tem-ate-nightclub/, skipping...
[ERROR - 2025-10-26 15:22:30,794 - Worker_0] Status code == 403 for http://balanacesta.blogosfera.uol.com.br/2016/11/02/nbb-comeca-no-proximo-sabado-confira-a-divisao-de-forcas-do-campeonato/, skipping...
[ERROR - 2025-10-26 15:22:39,215 - Worker_0] Status code == 404 for http://esporte.uol.com.br/mma/ultimas-noticias/2016/11/02/dana-white-diz-que-ronda-rousey-sera-atriz-apos-encerrar-carreira-no-mma.htm, skipping...
[ERROR - 2025-10-26 15:22:54,647 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2016/11/02/tres-homens-incluindo-um-pm-sao-presos-com-armas-e-drogas-no-rio.htm, skipping...
[ERROR - 2025-10-26 15:22:55,630 - Worker_3] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2016/11/02/medo-de-ser-assassinado-atinge-3-em-4-brasileiros-67-de-jovens-temem-a-pm.htm, skipping...
[ERROR - 2025-10-26 15:22:59,895 - Worker_3] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2016/11/02/veio-um-estrondo-e-nao-deu-tempo-de-sair-diz-padre-que-rezou-missa-em-gruta.htm, skipping...
[ERROR - 2025-10-26 15:23:00,567 - Worker_1] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2016/11/02/mae-e-filhos-estao-entre-vitimas-de-desabamento-de-gruta-no-tocantins.htm, skipping...
[ERROR - 2025-10-26 15:23:01,140 - Worker_0] Status code == 403 for http://noticias.uol.com.br/midiaglobal/nytimes/2016/11/02/em-corpos-de-jihadistas-autoridades-buscam-pistas-para-estrategia-do-ei-no-iraque.htm, skipping...
[ERROR - 2025-10-26 15:23:04,769 - Worker_1] Status code == 403 for http://blogdosakamoto.blogosfera.uol.com.br/2016/11/02/57-dos-brasileiros-concordam-que-bandido-bom-e-bandido-morto-e-dai/, skipping...
[ERROR - 2025-10-26 15:23:04,973 - Worker_2] Status code == 403 for http://blogdojuliogomes.blogosfera.uol.com.br/2016/11/02/real-de-zidane-leva-3-na-polonia-e-defesa-segue-uma-peneira/, skipping...
[ERROR - 2025-10-26 15:23:05,300 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/bbc/2016/11/02/crianca-e-salva-apos-invadir-transito-de-cidade-chinesa-com-velocipede.htm, skipping...
[ERROR - 2025-10-26 15:23:09,048 - Worker_1] Status code == 403 for http://siterg.uol.com.br/cultura/2016/11/02/revista-americana-mostra-fotos-ineditas-de-a-bela-e-a-fera/, skipping...
